                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7881,                 3.3864,                 1.8168,                0.00737,                0.23864,                0.05204,                0.02761,                 1.3648,                  3.546,                 1.5731,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.5736,                 3.2767,                 1.6274,                0.01314,                0.47403,                0.12732,                0.06658,                 1.4975,                 3.4279,                 1.5595,             0.00014854,             0.00014854,             0.00014854
                      3,                 1.4103,                 2.7041,                 1.5186,                0.01251,                0.51299,                0.16297,                0.09766,                  1.272,                 3.2711,                  1.376,             0.00022876,             0.00022876,             0.00022876
                      4,                 1.4766,                 2.2056,                 1.5249,                0.06079,                0.30682,                 0.1912,                 0.1149,                 1.2371,                 3.1326,                 1.3172,             0.00030732,             0.00030732,             0.00030732
                      5,                 1.4498,                 1.9706,                  1.455,                0.92444,                0.10035,                0.24507,                0.15766,                 1.1885,                 2.9702,                 1.2882,             0.00038424,             0.00038424,             0.00038424
                      6,                 1.3326,                 1.7981,                 1.4001,                0.90632,                 0.1549,                0.27341,                0.17711,                 1.2248,                 2.8991,                 1.3064,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.2954,                  1.873,                 1.4654,                0.84067,                0.21638,                0.26632,                0.16559,                 1.2888,                 2.7725,                 1.3602,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.2922,                 1.7242,                 1.3909,                0.73609,                0.22619,                0.23083,                0.14925,                 1.3693,                 2.6771,                 1.4477,             0.00060508,             0.00060508,             0.00060508
                      9,                  1.227,                 1.6826,                 1.3917,                0.81641,                0.19494,                0.23567,                0.13071,                 1.4526,                  2.828,                  1.507,             0.00067539,             0.00067539,             0.00067539
                     10,                 1.2464,                 1.5335,                 1.3682,                0.81112,                0.14881,                0.19704,                0.11697,                 1.3987,                 2.8496,                 1.4877,             0.00074405,             0.00074405,             0.00074405
                     11,                 1.2865,                 1.5545,                 1.4022,                0.73637,                0.17262,                0.18366,                0.11131,                 1.3942,                 2.7331,                 1.4467,             0.00081106,             0.00081106,             0.00081106
                     12,                 1.2633,                 1.4568,                 1.3611,                0.80866,                0.16667,                0.23685,                0.14834,                 1.4109,                 2.6364,                 1.4703,             0.00087642,             0.00087642,             0.00087642
                     13,                  1.238,                 1.3988,                 1.3561,                 0.8419,                0.14881,                0.22521,                0.13998,                 1.4156,                 2.6437,                 1.4933,             0.00094013,             0.00094013,             0.00094013
                     14,                  1.339,                 1.4549,                 1.3939,                0.74109,                0.26779,                0.33973,                0.20874,                 1.2963,                 2.4449,                 1.3693,              0.0010022,              0.0010022,              0.0010022
                     15,                 1.3025,                 1.4258,                 1.3465,                0.52735,                0.19788,                0.26742,                0.16143,                 1.3362,                 2.6652,                  1.395,              0.0010626,              0.0010626,              0.0010626
                     16,                 1.2175,                 1.4116,                 1.3211,                0.43085,                0.24513,                0.27109,                0.15541,                 1.3353,                 2.6544,                 1.4226,              0.0011214,              0.0011214,              0.0011214
                     17,                 1.2116,                 1.3829,                 1.3307,                0.36262,                0.24242,                0.19275,                0.11848,                 1.3827,                 2.7822,                  1.474,              0.0011785,              0.0011785,              0.0011785
                     18,                 1.2378,                 1.3428,                 1.3094,                0.46093,                0.25162,                0.23302,                0.12952,                 1.4741,                 2.7568,                  1.542,              0.0012339,              0.0012339,              0.0012339
                     19,                 1.2192,                 1.3335,                 1.3234,                 0.3924,                0.26904,                0.26219,                0.15712,                 1.4717,                 2.7816,                 1.5988,              0.0012877,              0.0012877,              0.0012877
                     20,                 1.2733,                 1.3296,                  1.321,                0.37388,                0.20725,                0.24368,                0.13451,                 1.5512,                 2.9547,                 1.6964,              0.0013399,              0.0013399,              0.0013399
                     21,                 1.2857,                 1.4536,                 1.4167,                0.53156,                0.17424,                0.20483,                0.12127,                  1.538,                 3.0268,                 1.6774,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2055,                 1.3455,                 1.3127,                0.67046,                0.30411,                0.40552,                0.24435,                 1.4924,                 2.5983,                 1.5986,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.2568,                 1.4083,                 1.3436,                0.69224,                0.48792,                 0.5801,                0.32988,                 1.5007,                  2.146,                 1.6119,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.2355,                 1.3012,                 1.3001,                0.69866,                0.49577,                0.60596,                0.34997,                 1.4977,                 2.0006,                 1.6221,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2778,                 1.4779,                  1.401,                0.73472,                0.50162,                0.57634,                0.31296,                   1.45,                 2.1885,                 1.5268,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.2662,                 1.4884,                 1.3924,                0.73222,                0.52868,                 0.6162,                0.33374,                 1.4567,                 2.1409,                 1.5261,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.2206,                 1.4389,                 1.3592,                0.64606,                0.51412,                0.59741,                0.33339,                 1.4631,                 2.1274,                 1.5343,              0.0012544,              0.0012544,              0.0012544
                     28,                  1.178,                 1.3079,                 1.3136,                0.55027,                0.45346,                0.54194,                0.27766,                 1.5289,                 2.4757,                 1.5662,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1701,                 1.3655,                 1.2962,                0.49852,                 0.4006,                0.48355,                0.25995,                 1.5426,                 2.5413,                 1.5698,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.1554,                 1.2978,                 1.3152,                0.48713,                0.49838,                 0.5561,                0.32205,                 1.4491,                 2.2843,                 1.4848,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1884,                 1.2517,                 1.2769,                0.69473,                0.49845,                0.62325,                0.36778,                  1.409,                 1.8761,                 1.4509,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.1929,                 1.2536,                 1.3254,                0.50948,                0.72024,                0.62604,                0.36249,                 1.3873,                 1.7828,                 1.4823,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.1583,                 1.2029,                 1.3033,                 0.4687,                0.67749,                0.57407,                0.32743,                  1.404,                 1.7952,                 1.4962,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.1016,                 1.1672,                 1.2561,                0.48638,                0.63672,                0.56272,                0.32391,                  1.418,                 1.6984,                 1.5319,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.1834,                 1.3102,                 1.3291,                0.64239,                0.65328,                0.63576,                0.36039,                 1.3763,                 1.5984,                 1.4741,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1412,                 1.1863,                  1.299,                0.68206,                0.68932,                0.74145,                0.42823,                 1.2937,                 1.4087,                 1.3634,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.1053,                 1.1593,                 1.2291,                0.83952,                0.64636,                0.77918,                0.45412,                 1.3302,                 1.3404,                 1.3985,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.2044,                 1.2045,                 1.3125,                0.77639,                0.73632,                0.79107,                0.46736,                  1.333,                  1.283,                 1.3991,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0956,                 1.1231,                 1.2632,                0.87961,                0.73864,                0.83398,                0.51084,                 1.2891,                 1.2301,                 1.3544,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1025,                 1.0851,                 1.2576,                0.86293,                 0.6742,                0.79722,                0.46808,                 1.3417,                 1.2687,                 1.3864,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1121,                 1.1258,                 1.2335,                0.75085,                0.78409,                0.80739,                0.48245,                 1.3046,                 1.2328,                 1.3744,              0.0010234,              0.0010234,              0.0010234
                     42,                  1.072,                 1.0436,                 1.1942,                0.80236,                0.76028,                0.82949,                0.50917,                 1.2972,                 1.2162,                 1.3831,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1206,                 1.1539,                 1.3053,                0.89741,                0.74456,                0.82078,                 0.5071,                 1.2623,                 1.2223,                 1.3217,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.0316,                 1.0172,                 1.2321,                0.78962,                0.68777,                 0.7883,                0.46897,                 1.3582,                 1.4412,                 1.4049,             0.00097386,             0.00097386,             0.00097386
                     45,                 0.9944,                 1.0151,                 1.1812,                0.83079,                0.66728,                0.80087,                0.46373,                 1.3461,                 1.4535,                 1.4179,             0.00095736,             0.00095736,             0.00095736
                     46,                0.97772,                0.98485,                 1.1827,                0.81204,                 0.6724,                0.78574,                0.46106,                 1.3295,                 1.5416,                 1.4267,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.0071,                0.99755,                 1.1927,                 0.7623,                0.73401,                0.79414,                0.45414,                 1.3286,                 1.5602,                 1.4373,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0198,                 1.0158,                 1.2369,                0.78939,                0.74343,                0.78907,                0.45405,                 1.2993,                 1.5082,                 1.3973,             0.00090785,             0.00090785,             0.00090785
                     49,                0.97374,                0.97572,                 1.1814,                0.85964,                0.69697,                0.81451,                 0.4838,                 1.2459,                 1.3852,                 1.3634,             0.00089134,             0.00089134,             0.00089134
                     50,                  1.041,                 1.0109,                 1.2107,                0.83616,                0.77952,                0.84729,                0.50947,                 1.2059,                 1.2834,                 1.3583,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.0069,                0.95503,                 1.1794,                0.89673,                0.78828,                0.87102,                0.51822,                 1.3011,                 1.2449,                 1.4405,             0.00085834,             0.00085834,             0.00085834
                     52,                0.97295,                 0.8937,                 1.1856,                0.82502,                0.79692,                0.85908,                 0.5041,                 1.2881,                 1.2455,                 1.4122,             0.00084184,             0.00084184,             0.00084184
                     53,                0.94481,                0.92237,                 1.1392,                0.84294,                0.75869,                0.86656,                0.54453,                 1.2006,                 1.1623,                 1.3455,             0.00082533,             0.00082533,             0.00082533
                     54,                0.95592,                0.91603,                 1.1846,                0.78428,                0.82684,                0.88407,                0.54889,                 1.2033,                 1.1182,                 1.3331,             0.00080883,             0.00080883,             0.00080883
                     55,                0.91673,                0.92232,                 1.1718,                0.80411,                  0.782,                0.87325,                0.53394,                  1.239,                 1.1739,                 1.3485,             0.00079233,             0.00079233,             0.00079233
                     56,                0.95835,                0.91167,                 1.1717,                0.87557,                0.82684,                 0.8926,                0.55758,                 1.2301,                 1.1178,                  1.374,             0.00077582,             0.00077582,             0.00077582
                     57,                  0.948,                0.88471,                 1.1496,                0.90397,                0.80056,                0.89563,                0.56078,                 1.2388,                 1.0542,                  1.375,             0.00075932,             0.00075932,             0.00075932
                     58,                0.95696,                0.90415,                 1.1968,                0.91799,                0.80155,                0.89641,                0.56994,                  1.213,                 1.0549,                 1.3598,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.0132,                 0.9406,                 1.2287,                0.92227,                0.79688,                0.89611,                0.57836,                 1.1926,                 1.0544,                 1.3311,             0.00072631,             0.00072631,             0.00072631
                     60,                0.99316,                0.92293,                 1.1841,                0.89072,                0.82955,                0.88035,                0.56066,                   1.21,                 1.1434,                 1.3228,             0.00070981,             0.00070981,             0.00070981
                     61,                0.98752,                0.93611,                 1.1952,                0.87276,                0.82213,                0.86347,                0.55081,                 1.2234,                 1.1974,                  1.333,             0.00069331,             0.00069331,             0.00069331
                     62,                0.88419,                 0.8508,                 1.0922,                0.85598,                0.80574,                0.86755,                 0.5468,                 1.2199,                 1.1811,                 1.3311,              0.0006768,              0.0006768,              0.0006768
                     63,                  0.871,                0.79899,                 1.0772,                0.87433,                0.79648,                0.88402,                0.56374,                 1.2088,                 1.1259,                 1.3169,              0.0006603,              0.0006603,              0.0006603
                     64,                0.88002,                0.88382,                 1.1245,                0.90138,                0.77537,                0.90138,                0.57679,                 1.1737,                 1.0882,                 1.2983,              0.0006438,              0.0006438,              0.0006438
                     65,                0.84025,                0.79943,                 1.0972,                0.88901,                0.81304,                0.88558,                0.55931,                 1.1859,                 1.1236,                 1.3118,             0.00062729,             0.00062729,             0.00062729
                     66,                0.86909,                0.83757,                 1.0778,                0.86349,                0.83786,                0.88825,                0.56556,                 1.2086,                 1.1012,                 1.3295,             0.00061079,             0.00061079,             0.00061079
                     67,                0.83381,                0.75812,                 1.0786,                0.91236,                0.78597,                0.88667,                0.56182,                 1.2183,                 1.0531,                 1.3377,             0.00059429,             0.00059429,             0.00059429
                     68,                0.86851,                0.78386,                 1.0859,                0.85181,                0.87269,                0.88689,                0.55709,                 1.2109,                 1.0447,                 1.3331,             0.00057778,             0.00057778,             0.00057778
                     69,                0.86134,                0.78835,                  1.081,                0.87416,                0.85606,                0.89029,                0.56321,                  1.177,                   1.03,                 1.3114,             0.00056128,             0.00056128,             0.00056128
                     70,                0.87122,                0.86827,                 1.1463,                0.88935,                0.84232,                 0.9004,                0.56695,                 1.1776,                0.99592,                 1.3125,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.9086,                0.89072,                 1.1642,                0.91648,                0.84331,                0.90866,                 0.5706,                   1.18,                0.97111,                  1.308,             0.00052827,             0.00052827,             0.00052827
                     72,                0.85469,                0.78619,                 1.0945,                0.90029,                0.86718,                0.90688,                0.56768,                 1.2004,                0.96599,                 1.3578,             0.00051177,             0.00051177,             0.00051177
                     73,                0.80862,                0.76622,                 1.0806,                0.88762,                0.86551,                0.90427,                0.57016,                 1.2053,                0.95231,                 1.3698,             0.00049527,             0.00049527,             0.00049527
                     74,                0.82335,                 0.7708,                 1.1052,                0.90654,                0.84584,                0.90573,                0.57041,                  1.196,                 0.9362,                 1.3745,             0.00047876,             0.00047876,             0.00047876
                     75,                0.83553,                0.77931,                 1.0894,                 0.9348,                0.82469,                0.90222,                0.57691,                 1.1774,                0.92482,                  1.368,             0.00046226,             0.00046226,             0.00046226
                     76,                0.83867,                0.75113,                 1.0929,                 0.8711,                0.87026,                0.90644,                0.58163,                 1.1482,                0.96122,                 1.3516,             0.00044576,             0.00044576,             0.00044576
                     77,                0.78306,                0.74143,                 1.0797,                0.83945,                 0.8866,                 0.9062,                0.58781,                 1.1288,                0.98299,                 1.3389,             0.00042925,             0.00042925,             0.00042925
                     78,                0.79209,                0.73466,                 1.0536,                0.87916,                0.85877,                0.90977,                0.58933,                 1.1168,                0.97601,                 1.3232,             0.00041275,             0.00041275,             0.00041275
                     79,                0.78596,                0.73209,                 1.0615,                0.93211,                0.86524,                0.91548,                0.60534,                 1.1033,                0.94372,                 1.3068,             0.00039625,             0.00039625,             0.00039625
                     80,                  0.795,                 0.7144,                 1.0558,                0.91648,                0.86797,                0.91743,                0.59676,                  1.092,                0.93055,                 1.2987,             0.00037974,             0.00037974,             0.00037974
                     81,                0.79136,                0.71247,                  1.052,                0.91294,                0.86201,                0.91587,                0.59681,                 1.0889,                0.90619,                 1.3003,             0.00036324,             0.00036324,             0.00036324
                     82,                0.75218,                0.67766,                 1.0454,                0.91223,                0.85875,                0.91786,                0.60682,                 1.0886,                0.88762,                 1.2941,             0.00034674,             0.00034674,             0.00034674
                     83,                0.75633,                0.70695,                 1.0656,                0.91181,                0.85542,                0.91614,                0.60986,                 1.0856,                0.87594,                  1.286,             0.00033023,             0.00033023,             0.00033023
                     84,                0.75082,                0.66027,                 1.0458,                0.93141,                0.82038,                0.91817,                0.61613,                 1.0773,                0.88375,                  1.269,             0.00031373,             0.00031373,             0.00031373
                     85,                0.73807,                0.68224,                  1.053,                0.93435,                 0.8171,                0.91626,                0.62275,                 1.0745,                0.89305,                 1.2608,             0.00029723,             0.00029723,             0.00029723
                     86,                0.76069,                0.68805,                 1.0351,                0.93856,                0.80519,                0.91298,                0.61018,                 1.0811,                0.90356,                 1.2495,             0.00028072,             0.00028072,             0.00028072
                     87,                0.79847,                0.68762,                 1.0486,                0.93807,                0.81817,                0.91015,                0.60634,                 1.0937,                 0.9207,                 1.2482,             0.00026422,             0.00026422,             0.00026422
                     88,                0.76027,                0.70522,                 1.0835,                0.94946,                0.80506,                0.90104,                0.59773,                 1.0986,                0.93997,                 1.2479,             0.00024772,             0.00024772,             0.00024772
                     89,                0.77819,                0.68365,                 1.0767,                0.94949,                0.80476,                 0.9004,                0.59651,                  1.098,                 0.9426,                 1.2436,             0.00023121,             0.00023121,             0.00023121
                     90,                0.74234,                0.68004,                   1.02,                0.90183,                0.83225,                0.90137,                0.59238,                 1.1007,                0.94285,                  1.245,             0.00021471,             0.00021471,             0.00021471
                     91,                0.73661,                0.72632,                 1.0273,                 0.9158,                0.81873,                0.90172,                0.59572,                 1.1042,                0.95902,                  1.245,             0.00019821,             0.00019821,             0.00019821
                     92,                0.77115,                0.74092,                 1.0728,                0.95039,                0.81115,                0.90127,                0.59097,                 1.1156,                  0.985,                  1.249,              0.0001817,              0.0001817,              0.0001817
                     93,                0.71033,                0.70285,                 1.0088,                0.94515,                0.80553,                0.89566,                0.58345,                 1.1301,                 1.0005,                 1.2577,              0.0001652,              0.0001652,              0.0001652
                     94,                0.72422,                0.69699,                 1.0155,                0.95341,                0.78902,                0.89204,                0.58609,                 1.1322,                 1.0159,                 1.2616,              0.0001487,              0.0001487,              0.0001487
                     95,                0.65511,                0.65533,                 1.0059,                0.88218,                0.85606,                0.89229,                0.58207,                 1.1319,                  1.006,                 1.2682,             0.00013219,             0.00013219,             0.00013219
                     96,                0.67872,                0.61526,                0.96973,                0.93989,                0.79004,                0.89655,                0.59047,                 1.1211,                0.96826,                 1.2736,             0.00011569,             0.00011569,             0.00011569
                     97,                0.64782,                0.61767,                0.97333,                0.94327,                0.80028,                0.90184,                0.59707,                 1.1168,                0.94719,                 1.2719,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.64798,                0.61024,                0.97318,                 0.9269,                0.81114,                0.90274,                 0.5968,                 1.1128,                0.92726,                 1.2717,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.66921,                0.64603,                0.99459,                0.87572,                0.87143,                0.90474,                0.60293,                 1.1079,                0.90946,                 1.2699,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.64417,                0.60192,                 0.9702,                0.88507,                0.85799,                0.90836,                0.60903,                 1.0865,                0.88182,                 1.2585,             4.9677e-05,             4.9677e-05,             4.9677e-05
